questionText,optionA,optionB,optionC,optionD,correctAnswer
What is the capital of Pakistan?,Karachi,Lahore,Islamabad,Peshawar,c
Which language is used for styling?,HTML,Python,JavaScript,CSS,d
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,b
What is 2 + 2?,3,4,5,6,b
Who wrote 'Romeo and Juliet'?,Shakespeare,Dickens,Hemingway,Tolstoy,a
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,d
Which gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,b
What is the boiling point of water at sea level?,90°C,95°C,100°C,105°C,c
Which country is famous for the Eiffel Tower?,Italy,France,Spain,Germany,b
What is the primary language spoken in Brazil?,Spanish,Portuguese,English,French,b
